LBD_name,CI434,LexAs5,LexA87,LexAs23,HKCI,RecApact,PurR,LexAs15,LexAs14,CI,DeoR,DBD335,DBD343
acVHH,2.8886650412249337,2.4068093091401,2.6123138137636825,2.735086726082751,2.8908206803680665,2.850091286621203,2.6913675408079225,2.571124437563656,2.1598610196742203,2.542037123821962,2.571124437563656,2.8313232885137705,2.8464551434267493
LasR,5.350924954200171,5.441175849955917,4.8993421413727765,5.059709396976521,5.315121363260476,5.213111096282954,5.002333780985523,4.845961377029967,4.316597199728421,5.490045144171761,4.845961377029967,5.442534094623453,5.427777389682721
RpaR,4.767774648980296,4.924921819929314,4.398927702985807,4.533556425769768,4.73991961582173,4.658945462007184,4.485753684986589,4.35346555691987,3.890135629573731,4.932406836580396,4.35346555691987,4.837432329222292,4.826382720925012
CinR,2.574651158519348,2.491209645960915,2.375012249967353,2.4512492843906,2.5607017368489093,2.5189759249783377,2.424564429817733,2.348557575775598,2.0633335006129347,2.5508943344408523,2.348557575775598,2.6082828813926175,2.603230972059033
BjaR,3.478246488335403,3.513745453871058,3.382259065840251,3.4214332642036513,3.4722470243476473,3.4536457703788304,3.4080659389494397,3.367964927281161,3.11592039945255,3.5098361263093403,3.367964927281161,3.492352667193712,3.4902013341365166
